session_id,label,event_type,ts,key,down_time,up_time,x,y
adaptive-0,bot,keystroke,,a,0,0.09,,
adaptive-0,bot,keystroke,,l,0.197,0.271,,
adaptive-0,bot,keystroke,,i,0.354,0.419,,
adaptive-0,bot,keystroke,,c,0.484,0.534,,
adaptive-0,bot,keystroke,,e,0.628,0.713,,
adaptive-0,bot,keystroke,,s,0.806,0.88,,
adaptive-0,bot,keystroke,,p,1.288,1.37,,
adaptive-0,bot,keystroke,,r,1.477,1.528,,
adaptive-0,bot,keystroke,,i,1.642,1.734,,
adaptive-0,bot,keystroke,,n,1.814,1.907,,
adaptive-0,bot,keystroke,,g,2.007,2.056,,
adaptive-0,bot,keystroke,,2,2.468,2.542,,
adaptive-0,bot,keystroke,,0,2.959,3.026,,
adaptive-0,bot,keystroke,,2,3.143,3.226,,
adaptive-0,bot,keystroke,,6,3.294,3.384,,
adaptive-0,bot,mouse_move,0.121,,,,72.162,68.701
adaptive-0,bot,mouse_move,0.254,,,,86.543,88.194
adaptive-0,bot,mouse_move,0.388,,,,104.904,105.499
adaptive-0,bot,mouse_move,0.509,,,,121.707,120.26
adaptive-0,bot,mouse_move,0.657,,,,143.525,127.946
adaptive-0,bot,mouse_move,0.786,,,,157.56,142.35
adaptive-0,bot,mouse_move,0.888,,,,179.911,149.241
adaptive-0,bot,mouse_move,1.093,,,,193.603,166.625
adaptive-0,bot,click,1.243,,,,300,400
adaptive-1,bot,keystroke,,a,0,0.083,,
adaptive-1,bot,keystroke,,l,0.171,0.228,,
adaptive-1,bot,keystroke,,i,0.338,0.396,,
adaptive-1,bot,keystroke,,c,0.479,0.553,,
adaptive-1,bot,keystroke,,e,0.668,0.72,,
adaptive-1,bot,keystroke,,s,0.838,0.887,,
adaptive-1,bot,keystroke,,p,0.949,1.002,,
adaptive-1,bot,keystroke,,r,1.082,1.156,,
adaptive-1,bot,keystroke,,i,1.216,1.299,,
adaptive-1,bot,keystroke,,n,1.39,1.444,,
adaptive-1,bot,keystroke,,g,1.525,1.614,,
adaptive-1,bot,keystroke,,2,1.724,1.807,,
adaptive-1,bot,keystroke,,0,1.901,1.961,,
adaptive-1,bot,keystroke,,2,2.068,2.148,,
adaptive-1,bot,keystroke,,6,2.24,2.314,,
adaptive-1,bot,mouse_move,0.103,,,,84.281,68.437
adaptive-1,bot,mouse_move,0.233,,,,98.604,80.625
adaptive-1,bot,mouse_move,0.394,,,,113.864,94.347
adaptive-1,bot,mouse_move,0.509,,,,142.753,108.606
adaptive-1,bot,mouse_move,0.632,,,,157.556,129.098
adaptive-1,bot,mouse_move,0.841,,,,170.698,136.382
adaptive-1,bot,mouse_move,1.022,,,,196.252,150.75
adaptive-1,bot,mouse_move,1.156,,,,215.819,160.076
adaptive-1,bot,click,1.306,,,,300,400
adaptive-2,bot,keystroke,,a,0,0.072,,
adaptive-2,bot,keystroke,,l,0.442,0.519,,
adaptive-2,bot,keystroke,,i,0.934,0.993,,
adaptive-2,bot,keystroke,,c,1.068,1.158,,
adaptive-2,bot,keystroke,,e,1.239,1.326,,
adaptive-2,bot,keystroke,,s,1.387,1.436,,
adaptive-2,bot,keystroke,,p,1.497,1.57,,
adaptive-2,bot,keystroke,,r,1.661,1.736,,
adaptive-2,bot,keystroke,,i,2.156,2.238,,
adaptive-2,bot,keystroke,,n,2.314,2.407,,
adaptive-2,bot,keystroke,,g,2.803,2.884,,
adaptive-2,bot,keystroke,,2,3.262,3.354,,
adaptive-2,bot,keystroke,,0,3.453,3.52,,
adaptive-2,bot,keystroke,,2,3.616,3.697,,
adaptive-2,bot,keystroke,,6,3.816,3.906,,
adaptive-2,bot,mouse_move,0.192,,,,83.358,81.163
adaptive-2,bot,mouse_move,0.344,,,,97.029,97.017
adaptive-2,bot,mouse_move,0.476,,,,120.25,112.274
adaptive-2,bot,mouse_move,0.575,,,,148.116,128.268
adaptive-2,bot,mouse_move,0.765,,,,164.951,136.918
adaptive-2,bot,mouse_move,0.909,,,,186.067,154.237
adaptive-2,bot,mouse_move,1.053,,,,209.254,170.878
adaptive-2,bot,mouse_move,1.253,,,,237.981,183.716
adaptive-2,bot,click,1.403,,,,300,400
adaptive-3,bot,keystroke,,a,0,0.062,,
adaptive-3,bot,keystroke,,l,0.145,0.212,,
adaptive-3,bot,keystroke,,i,0.284,0.349,,
adaptive-3,bot,keystroke,,c,0.419,0.472,,
adaptive-3,bot,keystroke,,e,0.88,0.943,,
adaptive-3,bot,keystroke,,s,1.017,1.084,,
adaptive-3,bot,keystroke,,p,1.148,1.198,,
adaptive-3,bot,keystroke,,r,1.268,1.339,,
adaptive-3,bot,keystroke,,i,1.422,1.48,,
adaptive-3,bot,keystroke,,n,1.586,1.645,,
adaptive-3,bot,keystroke,,g,1.711,1.796,,
adaptive-3,bot,keystroke,,2,1.902,1.962,,
adaptive-3,bot,keystroke,,0,2.381,2.468,,
adaptive-3,bot,keystroke,,2,2.835,2.893,,
adaptive-3,bot,keystroke,,6,3.283,3.376,,
adaptive-3,bot,mouse_move,0.106,,,,88.505,69.405
adaptive-3,bot,mouse_move,0.218,,,,99.985,84.321
adaptive-3,bot,mouse_move,0.423,,,,128.389,100.953
adaptive-3,bot,mouse_move,0.63,,,,154.861,108.29
adaptive-3,bot,mouse_move,0.745,,,,174.587,125.048
adaptive-3,bot,mouse_move,0.846,,,,196.407,136.888
adaptive-3,bot,mouse_move,1.024,,,,218.431,147.304
adaptive-3,bot,mouse_move,1.18,,,,236.583,157.276
adaptive-3,bot,click,1.33,,,,300,400
adaptive-4,bot,keystroke,,a,0,0.081,,
adaptive-4,bot,keystroke,,l,0.178,0.249,,
adaptive-4,bot,keystroke,,i,0.364,0.424,,
adaptive-4,bot,keystroke,,c,0.496,0.584,,
adaptive-4,bot,keystroke,,e,0.973,1.059,,
adaptive-4,bot,keystroke,,s,1.135,1.185,,
adaptive-4,bot,keystroke,,p,1.253,1.343,,
adaptive-4,bot,keystroke,,r,1.462,1.543,,
adaptive-4,bot,keystroke,,i,1.62,1.681,,
adaptive-4,bot,keystroke,,n,1.744,1.798,,
adaptive-4,bot,keystroke,,g,2.182,2.262,,
adaptive-4,bot,keystroke,,2,2.354,2.43,,
adaptive-4,bot,keystroke,,0,2.492,2.55,,
adaptive-4,bot,keystroke,,2,2.664,2.717,,
adaptive-4,bot,keystroke,,6,2.828,2.906,,
adaptive-4,bot,mouse_move,0.121,,,,85.993,71.695
adaptive-4,bot,mouse_move,0.281,,,,104.584,84.655
adaptive-4,bot,mouse_move,0.378,,,,133.161,93.933
adaptive-4,bot,mouse_move,0.577,,,,160.941,109.965
adaptive-4,bot,mouse_move,0.742,,,,177.851,119.436
adaptive-4,bot,mouse_move,0.846,,,,202.846,138.715
adaptive-4,bot,mouse_move,1.047,,,,217.021,152.975
adaptive-4,bot,mouse_move,1.214,,,,231.9,163.89
adaptive-4,bot,click,1.364,,,,300,400
adaptive-5,bot,keystroke,,a,0,0.09,,
adaptive-5,bot,keystroke,,l,0.21,0.297,,
adaptive-5,bot,keystroke,,i,0.398,0.449,,
adaptive-5,bot,keystroke,,c,0.537,0.609,,
adaptive-5,bot,keystroke,,e,1.024,1.095,,
adaptive-5,bot,keystroke,,s,1.168,1.261,,
adaptive-5,bot,keystroke,,p,1.368,1.434,,
adaptive-5,bot,keystroke,,r,1.524,1.59,,
adaptive-5,bot,keystroke,,i,1.965,2.027,,
adaptive-5,bot,keystroke,,n,2.141,2.211,,
adaptive-5,bot,keystroke,,g,2.314,2.388,,
adaptive-5,bot,keystroke,,2,2.499,2.562,,
adaptive-5,bot,keystroke,,0,2.626,2.694,,
adaptive-5,bot,keystroke,,2,2.812,2.9,,
adaptive-5,bot,keystroke,,6,3.298,3.373,,
adaptive-5,bot,mouse_move,0.196,,,,84.478,67.362
adaptive-5,bot,mouse_move,0.303,,,,99.917,75.826
adaptive-5,bot,mouse_move,0.422,,,,112.145,94.27
adaptive-5,bot,mouse_move,0.543,,,,132.367,102.429
adaptive-5,bot,mouse_move,0.71,,,,155.382,119.879
adaptive-5,bot,mouse_move,0.897,,,,182.795,139.94
adaptive-5,bot,mouse_move,0.996,,,,207.584,147.399
adaptive-5,bot,mouse_move,1.201,,,,233.856,162.207
adaptive-5,bot,click,1.351,,,,300,400
adaptive-6,bot,keystroke,,a,0,0.081,,
adaptive-6,bot,keystroke,,l,0.16,0.224,,
adaptive-6,bot,keystroke,,i,0.287,0.339,,
adaptive-6,bot,keystroke,,c,0.409,0.465,,
adaptive-6,bot,keystroke,,e,0.872,0.964,,
adaptive-6,bot,keystroke,,s,1.065,1.15,,
adaptive-6,bot,keystroke,,p,1.255,1.301,,
adaptive-6,bot,keystroke,,r,1.403,1.455,,
adaptive-6,bot,keystroke,,i,1.853,1.902,,
adaptive-6,bot,keystroke,,n,1.992,2.059,,
adaptive-6,bot,keystroke,,g,2.144,2.221,,
adaptive-6,bot,keystroke,,2,2.293,2.35,,
adaptive-6,bot,keystroke,,0,2.768,2.84,,
adaptive-6,bot,keystroke,,2,2.936,3.008,,
adaptive-6,bot,keystroke,,6,3.398,3.447,,
adaptive-6,bot,mouse_move,0.169,,,,82.458,72.026
adaptive-6,bot,mouse_move,0.375,,,,111.274,92.18
adaptive-6,bot,mouse_move,0.513,,,,131.843,108.644
adaptive-6,bot,mouse_move,0.7,,,,155.88,128.642
adaptive-6,bot,mouse_move,0.797,,,,172.392,138.029
adaptive-6,bot,mouse_move,0.974,,,,196.542,154.905
adaptive-6,bot,mouse_move,1.12,,,,212.626,164.809
adaptive-6,bot,mouse_move,1.234,,,,228.616,183.684
adaptive-6,bot,click,1.384,,,,300,400
adaptive-7,bot,keystroke,,a,0,0.05,,
adaptive-7,bot,keystroke,,l,0.47,0.52,,
adaptive-7,bot,keystroke,,i,0.895,0.948,,
adaptive-7,bot,keystroke,,c,1.066,1.127,,
adaptive-7,bot,keystroke,,e,1.505,1.588,,
adaptive-7,bot,keystroke,,s,1.679,1.763,,
adaptive-7,bot,keystroke,,p,1.835,1.893,,
adaptive-7,bot,keystroke,,r,2.003,2.092,,
adaptive-7,bot,keystroke,,i,2.212,2.26,,
adaptive-7,bot,keystroke,,n,2.34,2.4,,
adaptive-7,bot,keystroke,,g,2.486,2.572,,
adaptive-7,bot,keystroke,,2,2.675,2.769,,
adaptive-7,bot,keystroke,,0,2.861,2.918,,
adaptive-7,bot,keystroke,,2,3.02,3.07,,
adaptive-7,bot,keystroke,,6,3.469,3.54,,
adaptive-7,bot,mouse_move,0.201,,,,84.95,70.464
adaptive-7,bot,mouse_move,0.309,,,,103.248,84.148
adaptive-7,bot,mouse_move,0.477,,,,116.757,91.586
adaptive-7,bot,mouse_move,0.618,,,,143.15,100.798
adaptive-7,bot,mouse_move,0.771,,,,159.54,120.902
adaptive-7,bot,mouse_move,0.952,,,,172.326,140.138
adaptive-7,bot,mouse_move,1.075,,,,197,149.474
adaptive-7,bot,mouse_move,1.239,,,,221.832,168.934
adaptive-7,bot,click,1.389,,,,300,400
